i,j,sim,split_i,split_j,label_i,label_j,text_i,text_j
36171,36222,0.9728,train,train,CG,CG,I purchased this for my son's 3rd birthday. He loves it! He loves to throw it around and it seems to be a great size for him. He can take it around the house and it's great for him to keep on his car. This is a great toy for him and he loves to play with it. He can also use it on his carpeted floor.,I purchased this for my son's 3rd birthday. He loves it! He loves to throw it around and it seems to be a great size for him. He can take it around the house and it's great for him to keep on his car. This is a great toy for him and he loves to play with it. He can also use it on his carpeted floor.
20898,21078,0.9721,train,train,CG,CG,My dogs love these beds.  They are lightweight and comfortable for them.  They are a bit difficult to move around the house but they are,My dogs love these beds.  They are lightweight and comfortable for them.  They are a bit difficult to move around the house but they are also easy to
25982,26167,0.9709,train,test,CG,CG,I really liked this book.  The characters were well developed and kept my interest.  The story is well told and the characters are believable.  The writing is good and the characters are believable.  The story line is well written and the characters are well developed. ,I really liked this book.  The characters were well developed and kept my interest.  The story is well told and the characters are believable.  The writing is good and the characters are believable.  The story line is well written and the characters are well developed.  The storyline is well written
24177,24439,0.9709,val,train,CG,CG,I really enjoyed this book. I love the characters and the history. I would recommend it.,I really enjoyed this book.  I love the characters and the history.  I would recommend it.I read this book
25618,25982,0.9705,train,train,CG,CG,I really liked this book.  The characters were well developed and kept my interest.  The story is well told and the characters are believable.  The writing is good and the characters are believable.  The story line is,I really liked this book.  The characters were well developed and kept my interest.  The story is well told and the characters are believable.  The writing is good and the characters are believable.  The story line is well written and the characters are well developed. 
12505,12787,0.9702,train,train,CG,CG,"This is one of my favorite movies, and it is one of my favorite movies in the last 30","This is one of my favorite movies, and it is one of my favorite movies in the last 30 years."
19823,20496,0.9700,train,train,CG,CG,"This is perfect for my little ones, they love it.

If you have a larger dog","This is perfect for my little ones, they love it.

If you have a larger dog (great for"
2042,2048,0.9698,test,test,CG,CG,I got this ac for my wife and she loves it.  She also loves the fact that it is so small.  I am using it for the first time in a 4x6 bed,i got this one for my wife and she loves it.  She also loves the fact that it is so small.  I am using it for the first time in a 4x6 bed
26932,27021,0.9695,val,train,CG,CG,I received an ARC copy of this book in exchange for an honest review. This was a great read. I had a lot of fun with the characters and the storyline. This was a good book to read in a short time. This was a very good story. The characters were well developed. I liked the way the story line was told,I received a free copy of this book in exchange for an honest review.This was a great read.  I had a lot of fun with the characters and the storyline.  This is a good book to read in a short time.This was a very good story. The characters were well developed. I liked the way the story line was told 
27623,27666,0.9689,train,train,CG,CG,"This is the continuation of the series and the first in the series.

The first book is a short but very enjoyable read.  The characters are very likable and I enjoyed the banter between the main characters.  I would recommend it.This was an excellent read. The characters were strong, likable, and th","This is Book Two of the series and the first in the series.

The first book is a short but very enjoyable read.  The characters are very likable and I enjoyed the banter between the main characters.  I would recommend it.This was an excellent read. The characters were strong, likable, and the story "
35197,35357,0.9689,train,train,CG,CG,This is a great toy for an older child.  It is easy for a child to put together and so colorful.  I am not sure how the plastic is made of strong materials but it is well made.  The toy is very sturdy.  I highly recommend it,This is a great toy for an older child.  It is easy for a child to put together and so colorful.  I am not sure how the plastic is made of strong materials but it is well made.  The toy is very sturdy.  I highly recommend it.  I would recommend this to others
19439,19967,0.9680,train,test,CG,CG,My dog loved them and it has kept her occupied for a long time.  She does not mind,My dog loved these and it has kept her occupied for a long time.  She does not mind
26606,26744,0.9678,train,test,CG,CG,I really enjoyed this story.  The characters were well developed and kept my interest.  The story is well told and the story moves at a good pace.  I would definitely recommend this book to others.  Highly recommend it.I absolutely loved this book! I was given this book by a friend in exchange for a,I really enjoyed this story. The characters were well developed and kept my interest. The story is well told and the story moves at a good pace. I would definitely recommend this book to others. Highly recommend it. I absolutely loved this book! I was given this book by a friend in exchange for an h
26756,26782,0.9664,train,test,CG,CG,Another amazing book in the series. The characters are well developed and the story is well told. The story is well written and the characters are well developed. The writing is great and the story is well told. It was a very enjoyable read. This is a good story. The characters are well developed. T,Another great book in this series. The characters are well developed and the story is well told. The story is well written and the characters are well developed. The writing is great and the story is well told. It was a very enjoyable read.This is a good story. The characters are well developed. The
35019,35195,0.9663,train,train,CG,CG,My 2 year old got this for his birthday and it was a hit! He loves it and we have two small cars and the track is perfect for him to drive around. I would definitely recommend this toy to any kid.,My 2 year old got this for his birthday and it was a hit! He loves it and we have two small cars and the track is perfect for him to drive around. I would definitely recommend this toy to any kid. I would recommend it for any kid who loves cars
27490,28292,0.9662,train,train,CG,CG,"Patrick is a man who has an amazing personality and a good heart. When he meets Kate he is a man that needs to get over his past and get out of his life. This is a very well written story.

I was gifted an ARC copy of this book in exchange for an honest review.

I received a complimentary copy of th","Cale is a man who has an amazing personality and a good heart. When he meets Kate he is a man that needs to get over his past and get out of his life. This is a very well written story.

I was gifted an ARC copy of this book in exchange for an honest review.

I received a complimentary copy of this "
22730,22836,0.9660,train,train,CG,CG,I bought these for my dog. She loves them. She also loves the smell of the other two. The smell of the other two is much better. I would definitely recommend these. It's a little pricey for one dog but I don't have to worry about getting a replacement. I did get a free item and it is a great deal. I,I bought these for my dog. She loves them. She also loves the smell of the other two. The smell of the other two is much better. I would definitely recommend these. It's a little pricey for one dog but I don't have to worry about getting a replacement. I did get a free item and it is a great deal. I
21437,21609,0.9648,train,train,CG,CG,My dog LOVES this toy.  She is an aggressive chewer and will play with this toy every time she gets close enough to get a treat.  She is a chewer and,My dog loves this toy.  She is an aggressive chewer and will play with this toy every time she gets close enough to get a treat.  She is a chewer and it is worth the price.
39563,39686,0.9647,train,test,CG,CG,"I bought these as a gift for my husband and he loved them. He loves the way they look and fit.  The fit is perfect and the fit is true to size.I like it.  It's a good size, comfortable and well made.  I ordered a half size up.  I have a narrow foot and I had to order a half size up","I got these as a gift for my husband and he loved them. He loves the way they look and fit. The fit is perfect and the fit is true to size. I like it. It's a good size, comfortable and well made. I ordered a half size up. I have a narrow foot and I had to order a half size up. They are comfortable a"
15066,15127,0.9634,train,train,CG,CG,"This is possibly one of the most entertaining movies I've seen in a long time.  If you like thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers,","""Deep Rising"" is one of the most entertaining movies I've seen in a long time.  If you like thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers, thrillers,"
14055,14206,0.9630,train,train,CG,CG,Well this is a great movie. The story is very good and the characters are very believable. The acting is top notch and the story is very interesting. The acting was great and the movie was very well done. The acting was a bit predictable but the movie was still fun.,Mother Love is a great movie. The story is very good and the characters are very believable. The acting is top notch and the story is very interesting. The acting was great and the movie was very well done. The acting was a bit predictable but the movie was still fun. The acting was a bit predictabl
25349,25380,0.9630,train,test,CG,CG,This was a really good book. The characters were well developed and kept my interest. I recommend this book.I had a lot of fun with this book. It was a very interesting read.,This book was a great read. The characters were well developed and kept my interest. I recommend this book. I had a lot of fun with this book. It was a very interesting read.
1379,1428,0.9613,test,train,CG,CG,I got 2 of these and they are the best. I will keep them for the next couple years. Love it.,I got two of these and they are the best. I will keep them for the next couple years. Love it.
28173,28226,0.9612,val,train,CG,CG,I received a review copy of this book in exchange for an honest review.This was a great read.  I had a lot of fun with the characters and the storyline.  This was a good book to read in a short time.This was a very good story. The characters were well developed. I liked the story and the storyline. ,I recieved a arc copy of this book in exchange for an honest review.This was a great read.  I had a lot of fun with the characters and the storyline.  This was a good book to read in a short time.This was a very good story. The characters were well developed. I liked the story and the storyline. I h
25904,25974,0.9612,train,train,CG,CG,This was such a good book. The characters were well developed and kept my interest. I recommend this book. I had a lot of fun with this book. It was a very interesting read. It had a great story line and a good ending.,This was a really good book. The characters were well developed and kept my interest. I recommend this book.I had a lot of fun with this book. It was a very interesting read. It had a great story line and a good ending. This book is a great
31339,31419,0.9606,train,test,CG,CG,"This is one of the better ones I've read in a long time, and I'm just glad I read it. The story is a bit different than most, but it's still a good read. It's not a long book, and it's not worth the money.I loved this book. I have read the entire series, and I have not read the last one. I love the ","This is one of the better ones I've read in a long time, and I'm just glad I read it. The story is a bit different than most, but it's still a good read. It's not a long book, and it's not worth the money. I loved this book. I have read the entire series, and I have not read the last one. I love the"
37916,38240,0.9601,val,train,CG,CG,I bought these for my daughter. She loves them. I will keep them for the baby and we will be buying more,I bought these for my daughter. She loves them. I will keep them for the baby and we will be buying more! I am a 32
31930,32071,0.9598,train,train,CG,CG,I've read a lot of books by the author and this one is by far my favorite.  The story is told from the point of view of the heroine and the author is very clear that it's a little different in the way she chooses to deal with her own issues.  The book is a bit slow at times and it's a bit hard to fo,I've read a lot of books by the author and this one is by far my favorite.  The story is told from the point of view of the heroine and the author is very clear that it's a little different in the way she chooses to deal with her own issues.  The book is a bit slow at times and it's a bit hard to fo
27088,27169,0.9596,test,train,CG,CG,This is an OK shifter book. The characters are well developed and the story is well told. The story is well written and the story is well written. The writing is great and the story is well told. It was a good read. I read this book to my niece and her cousin and it was great! I can't wait to read t,This is a good shifter book. The characters are well developed and the story is well told. The story is well written and the story is well written. The writing is great and the story is well told. It was a good read.I read this book to my niece and her cousin and it was great! I can't wait to read t
27546,27555,0.9594,train,train,CG,CG,"I loved the first book and will be reading more. I will definitely be reading the next one.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would highly recommend this book.This was an excellent read. The characters were strong, likable",Yes!! I absolutely loved reading this book and the characters. I will definitely be reading the next one.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would highly recommend this book.This was an excellent read. The characters were s
16112,16610,0.9592,train,train,CG,CG,Make sure you read the instructions carefully and you will be able to follow the instructions.,Be sure to read the instructions carefully and you will be able to follow the instructions well.  The instructions are not
21878,21948,0.9583,train,train,CG,CG,"These seem to be good quality. The only problem is that it's kind of hard to put the bottom on top. The plastic part is also hard to put on the sides.I have used this product for about a year now, and it works great","They seems to be good quality. The only problem is that it's kind of hard to put the bottom on top. The plastic part is also hard to put on the sides.I have used this product for about a year now, and it works great. "
25683,25770,0.9582,train,train,CG,CG,All I can say is that this book was very good.  I enjoyed it very much and am looking forward to the next book in the series.  I think this is a great book to read.  It will give you a,All I can say is that this book was very good.  I enjoyed it very much and am looking forward to the next book in the series.  I think this is a great book to read.  It will give you a good idea
39234,39459,0.9582,train,train,CG,CG,"This is my second pair of these, and they are very comfortable. I have worn them for a couple of hours and they are still warm and comfortable.I bought these for my daughter's birthday and she loves them.  They are very comfortable.I bought this for my husband","This is my second pair of these, and they are very comfortable. I have worn them for a couple of hours and they are still warm and comfortable.I bought these for my daughter's birthday and she loves them.  They are very comfortable.I bought this for my husband for his birthday.  He's a huge fan of t"
15368,15550,0.9576,train,train,CG,CG,"This is the best film of the year.  The acting is top notch, the directing is top notch, the story is top notch.  The acting is top notch, the acting is top notch.  It's a film that will make you cry and laugh.  The acting is top notch.  The acting is top notch.  The story is top notch.  The story i","I'm stunned at how good this movie is.  The acting is top notch, the directing is top notch, the story is top notch.  The acting is top notch, the acting is top notch.  It's a film that will make you cry and laugh.  The acting is top notch.  The acting is top notch.  The story is top notch.  The sto"
138,1065,0.9573,train,train,CG,CG,Happy with my purchase.  We have had the same mattress for a few months now and this one,Very happy with purchase.  We have had the same mattress for a few months now and have not had a
19459,20341,0.9560,train,train,CG,CG,Did not work on my dog. The only reason I gave it 4 stars is because the one we,did not work on my dog. The only reason I gave it 4 stars is because the one we bought
39342,39586,0.9552,train,train,CG,CG,This was a very nice pair of shoes.  I've worn them for a couple of hours and they are still comfortable.  The only negative is the soles are a little tighter than I expected.  It's a little hard to get them on with socks.  The shoe is a bit too,This is a very nice pair of shoes.  I've worn them for a couple of hours and they are still comfortable.  The only negative is the soles are a little tighter than I expected.  It's a little hard to get them on with socks.  The shoe is a bit too tight for me to wear them with socks.  If I had to go u
35376,35462,0.9528,train,train,CG,CG,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to take it out of the car and put it in the trunk.  He loves it and is still having fun with it.  It is a great,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to take it out of the car and put it in the trunk.  He loves it and is still having fun with it.  It is a great toy and I would recommend
26451,26541,0.9528,train,val,CG,CG,I totally loved this book. I couldn't put it down. This is the first book I've read by this author. I can't wait to read more of her work. I can't wait to read more of her books. This was an excellent read. The characters were well developed and the story flowed nicely.,I really LOVED this book.  I couldn't put it down.  This is the first book I've read by this author.  I can't wait to read more of her work.  I can't wait to read more of her books.This was an excellent read. The characters were well developed and the story flowed nicely. I can't wait to see
35656,35780,0.9523,train,test,CG,CG,We bought this for my son for Christmas. He loved it. He loves to play with it and plays with it often. He is 3 and loves to take it out of the car and put it in the trunk. He loves it and is still having fun with it. It is a great toy and I would recommend it to any child who is interested in learn,I got this for my son for Christmas. He loved it. He loves to play with it and plays with it often. He is 3 and loves to take it out of the car and put it in the trunk. He loves it and is still having fun with it. It is a great toy and I would recommend it to any child who is interested in learning 
39786,39878,0.9523,train,train,CG,CG,I bought this for my daughter. She loves it. It is very cute and the material is very soft. I had to get a size down but the waist is a perfect length. The color is beautiful and the material is very thin. I wish it was a bit thicker. The material is a bit stretchy but the length is good. The materi,I bought this for my daughter. She loves it. It is very cute and the material is very soft. I had to get a size down but the waist is a perfect length. The color is beautiful and the material is very thin. I wish it was a bit thicker. The material is a bit stretchy but the length is good. The materi
26538,26679,0.9521,train,train,CG,CG,"While I enjoyed this book, it kept me engaged. I will definitely be reading the next one.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would highly recommend this book.This was an excellent read. The characters were strong, likable, ","This is a fun read, and it kept me engaged. I will definitely be reading the next one. I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would highly recommend this book. This was an excellent read. The characters were strong, likable, a"
27159,27428,0.9511,train,train,CG,CG,This is why I love this series and the characters. I will keep reading to find out how the other two stories are going to end.  The author is a master at writing a story that keeps you turning the pages. I can't wait for the next book to come out.This is a very sweet story. I enjoyed it.  I hope it ,This is why I love this series and the characters. I will keep reading to find out how the other two stories are going to end.  The author is a master at writing a story that keeps you turning the pages. I can't wait for the next book to come out.This is a very sweet story. I enjoyed it.  I hope it 
25727,26036,0.9507,train,train,CG,CG,I really enjoyed this book. I love the characters and the history. I would recommend it. I read this book in the last few days and have enjoyed it. I enjoyed the story and the characters.,I really enjoyed this book.  I love the characters and the history.  I would recommend it.I read this book in the last few days and have enjoyed it.  I enjoyed the story and the characters.  I think it was a good book and worth the read.
5979,6327,0.9503,train,train,CG,CG,"We bought this for our son to wear as a Christmas present.  He loves the way he can get a grip on the gun, and the clear plastic coating protects the gun from scratches. ","I bought this for my son to wear as a Christmas present.  He loves the way he can get a grip on the gun, and the clear plastic coating protects the gun from scratches.  It is great for him to have a clean gun"
24633,25065,0.9495,train,train,CG,CG,I'm not a fan of cliffhangers.  I've read a lot of books that just keep getting stuck in the middle.,I'm not a fan of cliffhangers.  I've read a lot of books that just keep getting stuck in the middle.  I can't tell you how
1204,1503,0.9480,test,train,CG,CG,I bought this for my daughter who is an avid runner.  She loves it!  She has a pair of running,I bought this for my daughter who is an avid runner.  She loves it!  She has a pair of running shoes and a pair
24084,24177,0.9477,test,val,CG,CG,I really enjoyed this read.  I love the characters and the history.  I would recommend this to,I really enjoyed this book. I love the characters and the history. I would recommend it.
7630,7643,0.9470,train,train,CG,CG,Works much better than expected.  I love the feel of the buckle.  The buckles are sturdy and well made.  I am very happy with the purchase.This is a great gift. It is great for anyone looking for a multi-tool. This is a great tool for the money. It is very easy to use and holds the item very well. I,This thing is a beast.  I love the feel of the buckle.  The buckles are sturdy and well made.  I am very happy with the purchase.This is a great gift. It is great for anyone looking for a multi-tool. This is a great tool for the money. It is very easy to use and holds the item very well. I wish I co
25908,26299,0.9467,train,train,CG,CG,I really love this series.  I love the characters and the history.  I would recommend this series.  Great job!I liked this book but the writing was a bit slow. The story was a little rushed.  I would have liked to see more,I have loved this series.  I love the characters and the history.  I would recommend this series.  Great job!I liked this book but the writing was a bit slow. The story was a little rushed.  I would have liked to see more of the characters in the book.  I could have read the
16444,16609,0.9466,train,test,CG,CG,I got these for my son to wear as a night-vision goggles for him. He has a couple,I bought these for my son to wear as a night-vision goggles for him. He has a couple of them
35890,36098,0.9451,train,train,CG,CG,"My two year old daughter loves it and she plays with it all the time. She's just starting to get into the computer games, but she is still learning to use it.I bought this for my little one.  She loves it.  My daughter is still very young and still plays with it as a hobby.  I'm very happy with it. ","My 3 year old daughter loves it and she plays with it all the time. She's just starting to get into the computer games, but she is still learning to use it. I bought this for my little one. She loves it. My daughter is still very young and still plays with it as a hobby. I'm very happy with it. It h"
27510,27646,0.9443,train,train,CG,CG,I received a complementary copy of this book in exchange for an honest review.This was a great read.  I had a lot of fun with the characters and the storyline.  This is a good book to read in a short time.This was a very good story. The characters were well developed. I liked the way the story line ,I received a complimentary copy of this book in exchange for an honest review.This was a great read.  I had a lot of fun with the characters and the storyline.  This is a good book to read in a short time.This was a very good story. The characters were well developed. I liked the way the story line 
24827,25349,0.9440,test,train,CG,CG,This was a really good book. The characters were well developed and kept my interest. I recommend this book.I had a lot of fun with this,This was a really good book. The characters were well developed and kept my interest. I recommend this book.I had a lot of fun with this book. It was a very interesting read.
34862,35009,0.9417,train,train,CG,CG,"Bought this for a gift for my granddaughter. She loves it. She also loves the music and the colors. Great for the kids, too. My daughter is 4 and it is pretty easy to set up and","Bought this for my 3 year old granddaughter. She loves it. She also loves the music and the colors. Great for the kids, too. My daughter is 4 and it is pretty easy to set up and use."
26759,26760,0.9412,val,train,CG,CG,I loved reading these books.  I couldn't put them down.  This is the first book I've read by this author.  I can't wait to read more of her work.  I can't wait to read more of her books.This was an excellent read. The characters were well developed and the story flowed nicely. I can't wait to see wh,I absolutely loved this book.  I couldn't put it down.  This is the first book I've read by this author.  I can't wait to read more of her work.  I can't wait to read more of her books.This was an excellent read. The characters were well developed and the story flowed nicely. I can't wait to see wha
7846,7994,0.9410,test,train,CG,CG,Let me start by saying that this is an awesome knife for the money.  I have one in my family and the other in my office.  The blade is solid and strong and the handle is well made.  The knife is very sharp.  I use it for hiking and also for a handbag or a portable phone.  The handle is well made and,Let me start by saying that this is an awesome knife for the money.  I have one in my family and the other in my office.  The blade is solid and strong and the handle is well made.  The knife is very sharp.  I use it for hiking and also for a handbag or a portable phone.  The handle is well made and
39140,39325,0.9408,test,test,CG,CG,"I bought these for my daughter. She loves them. I will keep them for the baby and we will be buying more! I am a 32D, and the 36D fits me perfectly. They are comfortable and will last a long time.","I bought these for my daughter. She loves them. I will keep them for the baby and we will be buying more! I am a 32D, and the 36D fits me perfectly. They are comfortable and will last a long time. I would recommend them to anyone.I bought these for"
24538,26003,0.9406,train,train,CG,CG,Great new book in this series. The characters are well developed and the story is well told. The story is well written and the,Another great story in the series. The characters are well developed and the story is well told. The story is well written and the characters are well developed.I love this book.  The characters are well developed and the story is well written.  This book is a great series
14497,15159,0.9399,train,train,CG,CG,"This review is for the actual movie, as it is not a science fiction story. It is a story about the crew of the ship.  The crew is not the same as the original.  The ship is in a state of panic.  This movie is a far cry from the original.  The movie is the most realistic movie I have seen on televisi","This review is for the actual movie, as it is not a science fiction story. It is a story about the crew of the ship.  The crew is not the same as the original.  The ship is in a state of panic.  This movie is a far cry from the original.  The movie is the most realistic movie I have seen on televisi"
19300,19426,0.9398,train,train,CG,CG,I have had this saw for a couple years now and I have not had a problem with the blade.  The blades are very sharp and the blade is very solid.  I would definitely recommend this saw to anyone.  I would buy it again if I had to.Great for the money.  I have used the most of the blades in the shop.  I,I have had this saw for a couple years now and I have not had a problem with the blade.  The blades are very sharp and the blade is very solid.  I would definitely recommend this saw to anyone.  I would buy it again if I had to.Great for the money.  I have used the most of the blades in the shop.  I
6578,6894,0.9388,train,val,CG,CG,great to keep in the car. The only problem is that it comes with a small screw driver. I had to replace the screw driver by myself. This was a very large screw driver. I replaced the screw driver with a spare one. This was a big problem.,Good product at a good price. The only problem is that it comes with a small screw driver. I had to replace the screw driver by myself. This was a very large screw driver. I replaced the screw driver with a spare one. This was a big problem. The screw driver was too small for the driver and I had to
37657,37973,0.9386,train,train,CG,CG,These shoes are so comfortable and stretchy.  I've worn them for a couple of hours. ,This shoes are very comfortable and stretchy.  I've worn them for a couple of hours.  The top is a
27888,28076,0.9384,test,train,CG,CG,"This was the first book that I have read by this author and I am really enjoying this one.

I had a lot of fun with this book and I am definitely looking forward to reading the next one.

I received this book for free in exchange for an honest review.I was looking forward to reading the book, but th","This was the first book that I have read by this author and I am really enjoying this one.

I had a lot of fun with this book and I am definitely looking forward to reading the next one.

I received this book for free in exchange for an honest review.I was looking forward to reading the book, but th"
35460,35465,0.9381,test,train,CG,CG,My 20 month old loves this toy and the materials are good.  My 2 year old has a lot of fun with it.  I also like the fact that the toy is made of plastic.  It is not a toy that will last for long.  But it is fun for a while.My 3 year old loves it. ,My 3 year old likes this toy and the materials are good.  My 2 year old has a lot of fun with it.  I also like the fact that the toy is made of plastic.  It is not a toy that will last for long.  But it is fun for a while.My 3 year old loves it. 
27563,27566,0.9381,train,train,CG,CG,I liked this book a lot. The characters were well developed and kept my interest. I recommend this book. I had a lot of fun with this book. It was a very interesting read. It had a great story line and a good ending. This book is a great series for young readers. I loved this book!  I can't wait to ,This book was wonderfully well written. The characters were well developed and kept my interest. I recommend this book. I had a lot of fun with this book. It was a very interesting read. It had a great story line and a good ending. This book is a great series for young people. I loved this book!  I 
25615,26138,0.9379,train,train,CG,CG,I loved this book so much. The characters were believable and the plot was well thought out. The story flowed well and the characters were believable. The characters were likable and I enjoyed the banter between the main characters.,I loved this book so much. The characters were believable and the plot was well thought out. The story flowed well and the characters were believable. The characters were likable and I enjoyed the banter between the main characters. The ending was good. I would recommend this book.Great series with 
29264,29276,0.9374,train,train,CG,CG,"I loved this book.  I have read all the other books in the series, and this one is a keeper.","Loved it.  I have read a lot of the other books in this series, and this one is a keeper"
9954,10238,0.9370,train,train,CG,CG,"This is a great product, it is lightweight and comfortable.

If you have a larger head (like me), this will be a good investment.

This is a great product.I had this for a few","This is a great product, it is lightweight and comfortable. If you have a larger head (like me), this will be a good investment. This is a great product. I had this for a few months, and it worked great."
26190,26244,0.9366,train,train,CG,CG,Another great addition to the series. The characters are well developed and the story is well told. The story is well-written and the characters are well-developed. I was very impressed by the writing style and the characters. I would recommend this series. This is a great series for young and old.,This final book in the series. The characters are well developed and the story is well told. The story is well-written and the characters are well-developed. I was very impressed by the writing style and the characters. I would recommend this series. This is a great series for young and old.
28864,29643,0.9362,train,train,CG,CG,The book was a GREAT read. The characters were well developed and the plot was well written.,The book was a great read. The characters were well developed and the plot was well written. The story was well-told.
501,900,0.9353,val,train,CG,CG,i liked this so much that I bought the second one for my husband for Christmas.,I loved this so much that I bought the second one for my husband for Christmas.
5626,5762,0.9352,train,train,CG,CG,"Easy to put up and down. The only problem is that it comes with a small screw driver.

I had to replace the screw driver by myself",well made and easy to use. The only problem is that it comes with a small screw driver. I had to replace the screw driver by myself.
38800,38808,0.9351,test,train,CG,CG,"I purchased these for my daughter. She loves them. I will keep them for the baby and we will be buying more! I am a 32D, and the 36D fits me perfectly.","I bought these for my daughter. She loves them. I will keep them for the baby and we will be buying more! I am a 32D, and the 36D fits me perfectly."
25734,25831,0.9350,train,train,CG,CG,I really enjoyed this book. The characters were well developed and kept my interest. The story is well told and the story moves at a good pace. I would definitely recommend this book to others. Highly recommend it.,I really enjoyed this story.  The characters were well developed and kept my interest.  The story is well told and the story moves at a good pace.  I would definitely recommend this book to others.  Highly recommend it.I absolutely loved this
25137,25300,0.9348,train,train,CG,CG,"This is a good book, it kept me engaged and I will keep reading it. Very good. I read this book in the last few days and have enjoyed it.","This is a good book, it kept me engaged and I will keep reading it.Very good.I read this book in the last few days and have enjoyed it. The characters are well"
26942,27911,0.9346,test,train,CG,CG,I just found out about this book and thought it was a great book! I would recommend it.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would like to read more from this author.It was a good book and a good read. I will read more by thi,"I read a lot in this book and thought it was a great book, I would recommend it. I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would like to read more from this author. It was a good book and a good read. I will read more by this aut"
26132,26913,0.9337,train,train,CG,CG,I was gifted a copy of this book by the author for an honest review. I was not compensated for my review. All opinions are my own.I enjoyed this book. I enjoyed the characters and the plot. I would like to read more from this author.It was a good book and a,I was gifted a copy of this book by the author for an honest review. I was not compensated for my review. All opinions are my own. I enjoyed this book. I enjoyed the characters and the plot. I would like to read more from this author. It was a good book and a good read. I will read more by this auth
36709,37396,0.9337,train,train,CG,CG,I bought for a gift and it arrived on time. I will keep it for myself and my husband,Got this as a gift and it arrived on time. I will keep it for myself and my husband
26681,26913,0.9326,train,train,CG,CG,I was given an arc of this book by the author for an honest review. I was not compensated for my review. All opinions are my own.I enjoyed this book. I enjoyed the characters and the plot. I would like to read more from this author.It was a good book and a good read. I will read more by this author.,I was gifted a copy of this book by the author for an honest review. I was not compensated for my review. All opinions are my own. I enjoyed this book. I enjoyed the characters and the plot. I would like to read more from this author. It was a good book and a good read. I will read more by this auth
34683,35166,0.9322,train,train,CG,CG,I purchased this for my son's 3rd birthday. He loves it! He loves to throw it around and it seems to be a great size for him. He can take it around the,I purchased this for my son's 3rd birthday. He loves it! He loves to throw it around and it seems to be a great size for him. He can take it around the house and it's great for him to keep on his car.
26348,27244,0.9312,train,train,CG,CG,This is a great box set. The characters are well developed and the story is well told. The story is well written and the story is well written. The writing is great and the story is well told. It was a very enjoyable read. This is a good story. The characters are well developed. The story is well wr,Another wonderful story in the series. The characters are well developed and the story is well told. The story is well written and the characters are well developed. The writing is great and the story is well told. It was a very enjoyable read.This is a good story. The characters are well developed.
27509,27682,0.9309,train,test,CG,CG,"I wish I had read this book more than once. I really enjoyed this book. I just wanted to read more about the people, places and people that we met in the book. The story was well told and kept me engaged.I absolutely loved this book! I was given this book by a friend in exchange for an honest review","I wish I had read this book more than once. I really enjoyed this book. I just wanted to read more about the people, places and people that we met in the book. The story was well told and kept me engaged.I absolutely loved this book! I was given this book by a friend in exchange for an honest review"
28033,28267,0.9305,train,train,CG,CG,"First of all, I love this book and the writing. I read it for a reason and it was a great read. The characters were believable and the story flowed well. The chemistry between the characters was well written and the chemistry between the main characters was hot and steamy. The storyline was great an","When i first started this book, I thought it was going to be a slow read but it was a great book. The characters were believable and the story flowed well. The chemistry between the characters was well written and the chemistry between the main characters was hot and steamy. The storyline was great "
29083,29981,0.9301,train,train,CG,CG,I really enjoyed this book.  I love the way it explains how science can help people make better decisions.,"I really enjoyed this book.  I love the way it explains how science can help people make better decisions.  I had to read it before I bought the book, so"
25939,26348,0.9300,train,train,CG,CG,This is quite a good book. The characters are well developed and the story is well told. The story is well written and the story is well written. The writing is great and the story is well told. It was a very enjoyable read.This is a good story,This is a great box set. The characters are well developed and the story is well told. The story is well written and the story is well written. The writing is great and the story is well told. It was a very enjoyable read. This is a good story. The characters are well developed. The story is well wr
27615,27719,0.9290,train,train,CG,CG,I really enjoyed this book.  I love the characters and the history.  I would recommend it.I read this book in the last few days and have enjoyed it.  I enjoyed the story and the characters.  I think it was a good book and worth the read.  I received a free copy of this book from the author in exchan,I got this book one time and I thought it was good. I really enjoyed this book. I read this book in the last few days and have enjoyed it. I enjoyed the story and the characters. I think it was a good book and worth the read. I received a free copy of this book from the author in exchange for an hon
39491,39653,0.9290,train,train,CG,CG,"Really fun shirt for the price. The only problem is that it comes with a small button that doesn't fit.  The front part of the shirt is a bit too short, so I had to order a smaller size.  The collar is very long and the back part is not as long as I expected.  I did get a medium,","The shirt is a great fit. The only problem is that it comes with a small button that doesn't fit. The front part of the shirt is a bit too short, so I had to order a smaller size. The collar is very long and the back part is not as long as I expected. I did get a medium, but it is a little longer th"
